"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Protolith"" title=""Protolith"">protolith</a>"|"
<dd class=""glossary"">The source rock from which a metamorphic, or in some rare cases a sedimentary, rock was formed. In most cases the appropriate sedimentary term is ""provenance"" rather than ""protolith"", since the material has been transported.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Psammite"" title=""Psammite"">psammite</a>"|"
<dd class=""glossary"">A general term for a <a href=""#sandstone""><span title=""See entry on this page at § sandstone"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sandstone</span></a>, most often used to describe a metamorphosed rock unit with a dominantly sandstone <a href=""#protolith""><span title=""See entry on this page at § protolith"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">protolith</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Pseudomatrix"" title=""Pseudomatrix"">pseudomatrix</a>"|"
<dd class=""glossary"">A weaker material (mainly <a href=""#lithic_fragment""><span title=""See entry on this page at § lithic fragment"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">lithic fragments</span></a>) that becomes crushed and matrix-like in a rock.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Pumice"" title=""Pumice"">pumice</a>"|"
<dd class=""glossary"">A light-coloured, highly vesicular volcanic rock of very low density.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Pyroclastic_flow"" title=""Pyroclastic flow"">pyroclastic flow</a>"|"
<dd class=""glossary"">A fast-moving current of hot gas and rock (collectively known as <a href=""#tephra""><span title=""See entry on this page at § tephra"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">tephra</span></a>), which normally hugs the ground and travels downhill or spreads laterally under gravity.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Pyroclastic"" class=""mw-redirect"" title=""Pyroclastic"">pyroclastic</a>"|"
<dd class=""glossary"">A volcanic fragment, such as a volcanic bomb, <a href=""#breadcrust_bomb""><span title=""See entry on this page at § breadcrust bomb"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">breadcrust bomb</span></a>, or <a href=""#achnelith""><span title=""See entry on this page at § achnelith"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">achnelith</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Pyroxene"" title=""Pyroxene"">pyroxene</a>"|"
<dd class=""glossary"">Any of a set of mineral species which, although falling into different systems (orthorhombic, monoclinic, and triclinic), are closely related in form and structure. They are metasilicates of <a href=""https://en.wikipedia.org/wiki/Calcium"" title=""Calcium"">calcium</a>, <a href=""https://en.wikipedia.org/wiki/Magnesium"" title=""Magnesium"">magnesium</a>, and <a href=""https://en.wikipedia.org/wiki/Iron"" title=""Iron"">iron</a> with <a href=""https://en.wikipedia.org/wiki/Manganese"" title=""Manganese"">manganese</a>, and less often with <a href=""https://en.wikipedia.org/wiki/Sodium"" title=""Sodium"">sodium</a>, <a href=""https://en.wikipedia.org/wiki/Potassium"" title=""Potassium"">potassium</a>, <a href=""https://en.wikipedia.org/wiki/Zirconium"" title=""Zirconium"">zirconium</a>, and <a href=""https://en.wikipedia.org/wiki/Fluorine"" title=""Fluorine"">fluorine</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Pyroxenite"" title=""Pyroxenite"">pyroxenite</a>"|"
<dd class=""glossary"">A coarse-grained, <a href=""#holocrystalline""><span title=""See entry on this page at § holocrystalline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">holocrystalline</span></a> igneous rock consisting mainly of <a href=""#pyroxene""><span title=""See entry on this page at § pyroxene"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">pyroxenes</span></a>. It may contain <a href=""#biotite""><span title=""See entry on this page at § biotite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">biotite</span></a>, <a href=""#hornblende""><span title=""See entry on this page at § hornblende"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hornblende</span></a>, or <a href=""#olivine""><span title=""See entry on this page at § olivine"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">olivine</span></a> as accessories.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Quartzite"" title=""Quartzite"">quartzite</a>"|"
<dd class=""glossary"">A compact, hard, very fine-grained white to creamy white rock which breaks into sharp angular fragments. Quartzite is always associated with other <a href=""#metamorphic_rock""><span title=""See entry on this page at § metamorphic rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">metamorphic rocks</span></a>, while cemented sandstone is always associated with other <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rocks</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Quaternary"" title=""Quaternary"">Quaternary</a>"|"
<dd class=""glossary"">The most recent of the three <a href=""#period""><span title=""See entry on this page at § period"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">periods</span></a> of the <a href=""#cenozoic_Era""><span title=""See entry on this page at § Cenozoic Era"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Cenozoic Era</span></a> in the standard geologic time scale. It follows the Neogene Period, spanning 2.588 ± 0.005 million years ago to the present.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Regional_metamorphism"" class=""mw-redirect"" title=""Regional metamorphism"">regional metamorphism</a>"|"
<dd class=""glossary"">Over wide areas resulting from deep burial with consequent rise in temperature and static pressure, usually with the help of folding movements that accompany the formation of mountain ranges.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Reticulite"" class=""mw-redirect"" title=""Reticulite"">reticulite</a>"|"
<dd class=""glossary"">A basaltic pumice in which the walls of the vesicles have collapsed, leaving a network of fine, interconnecting glass threads. It is the lightest rock known.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Retrograde_metamorphism"" class=""mw-redirect"" title=""Retrograde metamorphism"">retrograde metamorphism</a>"|"
<dd class=""glossary"">The reconstitution of a rock via revolatisation under decreasing temperatures (and usually pressures), allowing the mineral assemblages formed in prograde metamorphism to revert to those more stable at less extreme conditions.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Reverse_fault"" class=""mw-redirect"" title=""Reverse fault"">reverse fault</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called a <b>thrust fault</b>.</span></p>
<dd class=""glossary"">Dip-slip faults can be sub-classified into the types ""reverse"" and ""normal"". A reverse fault occurs when the crust is compressed such that the hanging wall moves upward relative to the footwall. Contrast <i><a href=""#normal_fault""><span title=""See entry on this page at § normal fault"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">normal fault</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Rhyolite"" title=""Rhyolite"">rhyolite</a>"|"
<dd class=""glossary"">An aphanitic, buff to greyish flow-banded rock, often containing spherulites or phenocrysts of quartz and feldspar.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Rift"" title=""Rift"">rift</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Roche_moutonn%C3%A9e"" title=""Roche moutonnée"">roche moutonnée</a>"|"
<dd class=""glossary"">An elongated post-glacial rock formation with a smoothed surface on the uphill side and a ""plucked"" surface on the downhill side.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Rock_(geology)"" title=""Rock (geology)"">rock</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Rudite"" title=""Rudite"">rudaceous</a>"|"
<dd class=""glossary"">Having the composition and characteristics of <a href=""#clastic_rocks""><span title=""See entry on this page at § clastic rocks"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">clastic rocks</span></a>, i.e. coarse-grained sedimentary rocks, conglomerates, and breccias, with a particle size of less than 2 mm.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Rudite"" title=""Rudite"">rudite</a>"|"
<dd class=""glossary"">Any of a set of sedimentary rocks composed of rounded or angular detrital grains, i.e. granules, pebbles, cobbles, and boulders, which are coarser than sand in size.</dd>
"
"<a href=""https://en.wiktionary.org/wiki/Saccharoidal"" class=""extiw"" title=""wikt:Saccharoidal"">saccharoidal</a>"|"
<dd class=""glossary"">Having a texture similar to that of granulated sugar.</dd>
"
"Saldanian orogeny"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Sand"" title=""Sand"">sand</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Sandstone"" title=""Sandstone"">sandstone</a>"|"
<dd class=""glossary"">Sand (with grains up to 2&#160;mm in diameter) in which the grains are cemented together by secondary silica or calcite. Maybe loosely cemented and soft or well cemented and hard. Buff to brownish; sometimes reddish, due to presence of iron oxides, or greenish, due to presence of glauconite.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Sanidine"" title=""Sanidine"">sanidine</a>"|"
<dd class=""glossary"">A form of potash <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a> identical in composition with <a href=""#orthoclase""><span title=""See entry on this page at § orthoclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">orthoclase</span></a> but physically different, formed under different conditions and occurring in different rock types. It is the high temperature form of orthoclase, into which it inverts at 900&#160;°C (1,650&#160;°F). Occurs in lavas and dyke rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Schist"" title=""Schist"">schist</a>"|"
<dd class=""glossary"">A group of medium-grade <a href=""#metamorphic_rock""><span title=""See entry on this page at § metamorphic rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">metamorphic rocks</span></a>, chiefly notable for the preponderance of lamellar minerals such as <a href=""#mica""><span title=""See entry on this page at § mica"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">micas</span></a>, chlorite, <a href=""#talc""><span title=""See entry on this page at § talc"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">talc</span></a>, <a href=""#hornblende""><span title=""See entry on this page at § hornblende"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hornblende</span></a>, <a href=""#graphite""><span title=""See entry on this page at § graphite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">graphite</span></a>, and others. In French, schist is understood as <a href=""#shale""><span title=""See entry on this page at § shale"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">shale</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Scree"" title=""Scree"">scree</a>"|"
<dd class=""glossary"">See <i><a href=""#talus""><span title=""See entry on this page at § talus"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">talus</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Sediment_trap_(geology)"" title=""Sediment trap (geology)"">sediment trap</a>"|"
<dd class=""glossary"">A depression in which sediments substantially accumulate over time.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Sedimentary_rock"" title=""Sedimentary rock"">sedimentary rock</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Sequence_(geology)"" title=""Sequence (geology)"">sequence</a>"|"
<dd class=""glossary"">A sequence of geological events, processes, or rocks arranged in chronological order.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Sericite"" title=""Sericite"">sericite</a>"|"
<dd class=""glossary"">A white potash-mica, similar to <a href=""#muscovite""><span title=""See entry on this page at § muscovite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">muscovite</span></a> in chemical composition and general character but occurring as a secondary mineral, often as a decomposition product of <a href=""#orthoclase""><span title=""See entry on this page at § orthoclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">orthoclase</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Shale"" title=""Shale"">shale</a>"|"
<dd class=""glossary"">A fine-grained, clastic <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a> composed of mud that is a mix of flakes of clay minerals and tiny fragments (silt-sized particles) of other minerals, especially quartz and calcite.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Shear_zone"" title=""Shear zone"">shear zone</a>"|"
<dd class=""glossary"">A tabular to sheet-like, planar or curviplanar zone composed of rocks that are more highly strained than rocks adjacent to the zone. See also <i><a href=""https://en.wikipedia.org/wiki/Fault_(geology)"" title=""Fault (geology)"">fault</a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Shield_(geology)"" title=""Shield (geology)"">shield</a>"|"
<dd class=""glossary"">A large area of exposed Precambrian crystalline <a href=""#igneous""><span title=""See entry on this page at § igneous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous</span></a> and high-grade <a href=""#metamorphic_rock""><span title=""See entry on this page at § metamorphic rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">metamorphic rocks</span></a> that form <a href=""#tectonics""><span title=""See entry on this page at § tectonics"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">tectonically</span></a> stable areas.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Shingle_beach"" title=""Shingle beach"">Shingle beach</a>"|"
<dd class=""glossary"">A beach which is armoured with pebbles or small- to medium-sized cobbles (as opposed to fine sand), typically ranging from 2 to 200 millimetres (0.1 to 7.9 in) diameter.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Silcrete"" title=""Silcrete"">silcrete</a>"|"
<dd class=""glossary"">An indurated soil duricrust formed when surface sand and gravel are cemented by dissolved <a href=""#silica""><span title=""See entry on this page at § silica"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silica</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Silt"" title=""Silt"">silt</a>"|"
<dd class=""glossary"">Granular material of a size somewhere between sand and clay whose mineral origin is <a href=""#quartz""><span title=""See entry on this page at § quartz"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">quartz</span></a> and <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a>. Silt may occur as a soil or as suspended sediment (also known as suspended load) in a surface water body. It may also exist as soil deposited at the bottom of a water body.</dd>"
"<a href=""https://en.wikipedia.org/wiki/Slate"" title=""Slate"">slate</a>"|"
<dd class=""glossary"">Very fine-grained sedimentary rock of the clay or silt grade which as a consequence of regional metamorphism has developed a <a href=""#slaty_cleavage""><span title=""See entry on this page at § slaty cleavage"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">slaty cleavage</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Slaty_cleavage"" class=""mw-redirect"" title=""Slaty cleavage"">slaty cleavage</a>"|"
<dd class=""glossary"">The property of splitting easily along regular, closely spaced planes of fissility, produced by pressure in fine-grained rocks, with the cleavage planes lying in the directions of maximum elongation of the mass.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Slickenside"" title=""Slickenside"">slickenside</a>"|"
<dd class=""glossary"">A smoothly polished surface caused by frictional movement between rocks along the two sides of a <a href=""#fault""><span title=""See entry on this page at § fault"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fault</span></a>. This surface is normally striated in the direction of movement.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Slump_(geology)"" title=""Slump (geology)"">slump</a>"|"
<dd class=""glossary"">A form of <a href=""#mass_wasting""><span title=""See entry on this page at § mass wasting"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mass wasting</span></a> that occurs when a coherent mass of loosely consolidated materials or rock layers moves a short distance down a slope.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Soil_liquefaction"" title=""Soil liquefaction"">soil liquefaction</a>"|"
<dd class=""glossary"">The process describing the behavior of soils that, when loaded, suddenly suffer a transition from a solid state to a liquefied state, or which have the consistency of a heavy liquid.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Sorting_(sediment)"" title=""Sorting (sediment)"">sorting</a>"|"
<dd class=""glossary"">Sorting describes the distribution of grain size of sediments, either in unconsolidated deposits or in <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rocks</span></a>. Very poorly sorted indicates that the sediment sizes are mixed (large variance); whereas well sorted indicates that the sediment sizes are similar (low variance).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Sphene"" class=""mw-redirect"" title=""Sphene"">sphene</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called <b>titanite</b>.</span></p>
<dd class=""glossary"">A calcium titanium nesosilicate mineral.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Staurolite"" title=""Staurolite"">staurolite</a>"|"
<dd class=""glossary"">A red brown to black, mostly opaque, nesosilicate mineral with a white streak.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Stone"" class=""mw-redirect"" title=""Stone"">stone</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Storm_ridge&amp;action=edit&amp;redlink=1"" class=""new"" title=""Storm ridge (page does not exist)"">storm ridge</a>"|"
<dd class=""glossary"">A <a href=""https://en.wikipedia.org/wiki/Beach_ridge"" title=""Beach ridge"">beach ridge</a> usually located further or higher inland caused by wave action from storms.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Deformation_(mechanics)"" title=""Deformation (mechanics)"">strain</a>"|"
<dd class=""glossary"">A change in the volume or shape of a rock mass in response to stress.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Stratigraphy"" title=""Stratigraphy"">stratigraphy</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Stylolite"" title=""Stylolite"">stylolite</a>"|"
<dd class=""glossary"">An irregular discontinuity or non-structural fracture in limestone and other sedimentary rocks. Stylolites result from compaction and pressure solution during diagenesis.</dd>
"
"<a href=""https://en.wiktionary.org/wiki/Surficial"" class=""extiw"" title=""wikt:Surficial"">surficial</a>"|"
<dd class=""glossary"">Of or pertaining to the surface.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Syenite"" title=""Syenite"">syenite</a>"|"
<dd class=""glossary"">A coarse-grained <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rock</span></a> of intermediate composition, composed essentially of alkali-feldspar to the extent of at least two thirds of the total, with a variable content of <a href=""#mafic""><span title=""See entry on this page at § mafic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mafic</span></a> materials, of which common <a href=""#hornblende""><span title=""See entry on this page at § hornblende"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hornblende</span></a> is characteristic.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Syncline"" title=""Syncline"">syncline</a>"|"
<dd class=""glossary"">A geological fold with strata dipping inwards towards the fold axis. Contrast <i><a href=""#anticline""><span title=""See entry on this page at § anticline"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">anticline</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Syntaxis"" title=""Syntaxis"">syntaxis</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Table_Mountain_Group"" class=""mw-redirect"" title=""Table Mountain Group"">Table Mountain Group</a>"|"
<dd class=""glossary"">A group of rock formations within the <a href=""https://en.wikipedia.org/wiki/Cape_Supergroup"" class=""mw-redirect"" title=""Cape Supergroup"">Cape Supergroup</a> sequence of rocks.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Scree"" title=""Scree"">talus</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called <b>scree</b>.</span></p>
<dd class=""glossary"">A collection of broken rock fragments at the base of crags, mountain cliffs, volcanoes or valley shoulders that has accumulated through periodic rockfall from adjacent cliff faces. Landforms associated with these materials are often called talus deposits.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Tectonic_plate"" class=""mw-redirect"" title=""Tectonic plate"">tectonic plate</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Tektite"" title=""Tektite"">tektite</a>"|"
<dd class=""glossary"">Natural glass formed from terrestrial ejecta during a meteorite impact.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Tenacity_(mineralogy)"" title=""Tenacity (mineralogy)"">tenacity</a>"|"
<dd class=""glossary"">A mineral's behavior when deformed or broken.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Tephra"" title=""Tephra"">tephra</a>"|"
<dd class=""glossary"">Fragmental material produced by a volcanic eruption regardless of composition, fragment size or emplacement mechanism. Once clasts have fallen to the ground they remain as tephra unless hot enough to fuse together into pyroclastic rock or tuff.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Tethys_Ocean"" title=""Tethys Ocean"">Tethys Ocean</a>"|"
<dd class=""glossary"">A prehistoric ocean that existed between the continents of Gondwana and Laurasia during the Mesozoic era before the opening of the <a href=""https://en.wikipedia.org/wiki/Indian_Ocean"" title=""Indian Ocean"">Indian Ocean</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Till"" title=""Till"">till</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also called <b>glacial till</b>.</span></p>
<dd class=""glossary"">Unsorted glacial sediment. Glacial drift is a general term for the coarsely graded and extremely heterogeneous sediments of glacial origin. Glacial till is that part of glacial drift which was deposited directly by the glacier.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Tillite"" class=""mw-redirect"" title=""Tillite"">tillite</a>"|"
<dd class=""glossary"">A type of <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a> derived from <a href=""#till""><span title=""See entry on this page at § till"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">glacial till</span></a> which has been indurated or lithified by subsequent burial into solid rock.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Topography"" title=""Topography"">topography</a>"|"
<dd class=""glossary"">The arrangement of the natural and artificial physical features of an area.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Tor_(rock_formation)"" title=""Tor (rock formation)"">tor</a>"|"
<dd class=""glossary"">A large, free-standing residual mass (rock outcrop) that rises abruptly from the surrounding smooth and gentle slopes of a rounded hill summit or ridge crest.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Trace_fossil"" title=""Trace fossil"">trace fossil</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
